x,y,score
115525.15335,485753.72215,4
115441.80964,485992.75242,2
115401.53573,485979.68212,2
115240.30319,485813.08296,2
115209.55538,485871.12789,8
115227.40251,485875.27219,8
115206.32819,485905.71929,6
115227.92305,485904.83639,2
115226.69901,485909.42813,4
115225.78762,485939.09709,4
115258.50297,485929.11313,2
115246.27808,485928.29879,4
115702.88697,485072.05212,2
115730.81147,485012.15597,2
115820.50096,485343.22391,8
115926.26770,485375.38626,8
116513.65915,488495.52272,2
116650.22616,488483.36524,2
116623.72352,488487.91399,2
117842.08719,489102.75838,2
117809.45289,489102.62966,2
117785.33042,489102.47645,2
117774.05161,489102.44945,4
117663.23805,488377.06738,4
117593.41316,488395.51437,4
117629.80923,488394.83510,2
117627.65899,488386.48416,8
125214.29574,483849.61214,2
125208.61819,483861.02056,2
125212.45830,483856.66014,4
124448.25096,486840.71850,2
124435.54955,486837.94427,2
124436.35866,486847.95986,3
125442.91440,486793.07299,6
125330.62785,486788.24049,10
125364.04393,486785.80867,4
125382.28168,486778.84934,4
125248.68519,486818.24489,6
125279.13033,486794.87846,8
