lat,lon
52.352708,4.886071
52.353086,4.88614
52.353333,4.886259
52.354889,4.890113
52.354967,4.89008
52.354791,4.889125
52.354723,4.88917
52.354749,4.889374
52.354855,4.889296
52.354824,4.889336
52.354664,4.887153
52.35474,4.887721
52.354668,4.887773
52.354664,4.887735
52.354639,4.88827
52.354555,4.888424
52.354572,4.888451
52.353918,4.886346
52.354406,4.886347
52.354503,4.886125
52.34714,4.852339
52.348143,4.853931
52.34809,4.854154
52.348064,4.854201
52.34818,4.854296
52.348309,4.854386
52.348208,4.854551
52.348259,4.854428
52.348231,4.854473
52.348463,4.854769
52.348669,4.854979
52.348654,4.855063
52.348852,4.855252
52.348944,4.855511
52.347941,4.853593
52.347488,4.852949
52.34774,4.853273
52.347616,4.853153
52.350875,4.849544
52.355647,4.850393
52.355433,4.850256
52.355572,4.850143
52.354754,4.850165
52.354676,4.850272
52.354682,4.85041
52.355056,4.850077
52.355072,4.850263
52.354234,4.850416
52.354206,4.850093
52.3543,4.850066
52.353493,4.850423
52.353375,4.850293
52.3538,4.850418
52.353842,4.850174
52.35381,4.850076
52.356131,4.85017
52.356196,4.85039
52.35665,4.850376
52.357166,4.850137
52.357084,4.850366
52.35283,4.850443
52.352277,4.850311
52.352301,4.850452
52.351746,4.850459
52.351772,4.850306
52.364169,4.851395
52.36425,4.851249
52.364248,4.851378
52.369388,4.845102
52.36918,4.850539
52.369445,4.850417
52.431905,4.918306
52.431912,4.917041
52.43195,4.916992
52.431882,4.917901
52.431921,4.917856
52.431895,4.917503
52.431934,4.917422
52.400853,4.932489
52.401748,4.930328
52.401518,4.931233
52.40133,4.931624
52.338838,4.893108
52.338848,4.892865
52.33878,4.89283
52.347242,4.89317
52.34685,4.892826
52.346849,4.90084
52.346559,4.898179
52.346578,4.898226
52.346907,4.899797
52.346804,4.901711
52.346495,4.899588
52.346504,4.899652
52.34643,4.901022
52.346411,4.901393
52.346397,4.901751
52.346471,4.90021
52.346452,4.900596
52.346682,4.902697
52.346406,4.902242
52.346414,4.902654
52.346536,4.898911
52.346949,4.898941
52.34721,4.894032
52.347215,4.894097
52.347196,4.894117
52.346807,4.893667
52.346774,4.894288
